	label	sentence
372836	1	 Northern Dancer (May 27 1961 – November 16 1990) was a Canadian-bred Thoroughbred racehorse who won the Kentucky Derby and Preakness Stakes and who became the most successful sire of the 20th Century. The National Thoroughbred Racing Association calls him one of the most influential sires in Thoroughbred history.A bay colt Northern Dancer was by Nearctic and his dam Natalma was by Native Dancer. In 1952 Edward P.
370913	1	 Scobura is a genus of skippers in the family Hesperiidae.
364214	1	 Eteinopla is a genus of Moth in the family Lasiocampidae.
368198	1	 Lampris zatima is the oldest known opah of the genus Lampris from the Late Miocene of Southern California (the giant opah of the genus Megalampris of Late Oligocene New Zealand is older). Its fossil record is rather poor known primarily from isolated vertebral columns and a few headless specimens. Alive it is estimated to have been around 20 to 30 centimeters long.Mistakenly it was later re-described as a surfperch Dascles dassurus.
391403	1	 Bathybates is a small genus of predatory cichlids endemic to Lake Tanganyika in east Africa.
373917	1	 Psodos is a genus of moth in the family Geometridae.
387440	1	 Bacillus rossius (Rossi 1788) is a species of stick insect common in Europe. The species is endemic of northwestern Mediterranean especially Spain Southern France Italy and the Balkans.
371667	1	 Thysanodonta diadema is a species of sea snail a marine gastropod mollusk in the family Calliostomatidae.
389616	1	 The Emperor Goose (Chen canagica) is a species of goose. It breeds around the Bering Sea mostly in Alaska USA but also in Kamchatka Russia.
399864	1	 Macrodontia Lepeletier & Audinet-Serville 1830 is a genus of American long-horned beetles of the subfamily Prioninae tribe Macrodontiini.
367817	1	 Gnopheroides pearsoni is a species of beetle in the family Carabidae the only species in the genus Gnopheroides.
394101	1	 Ectoedemia nyssaefoliella is a moth of the Nepticulidae family. It is found in Kentucky Ohio and North Carolina.The wingspan is 4.5–6 mm. There are two or three generations per year. The larvae of the first generation become full-grown in June.The larvae feed on Nyssa sylvatica. They mine the leaves of their host plant. The mine is narrow and linear at first then abruptly enlarging into a blotch. The cocoon is pale greenish brown.
370131	1	 Silvaspica is a genus of moth in the family Geometridae. It is considered a synonym of Bytharia.
391896	1	 Cyclomia is a genus of moth in the family Geometridae.
374655	1	 Ancotrema is a genus of air-breathing land snails terrestrial pulmonate gastropod mollusks in the family Haplotrematidae.This genus is sometimes considered to be a subgenus of Haplotrema.
374706	1	 Turbonilla madriella is a species of sea snail a marine gastropod mollusk in the family Pyramidellidae the pyrams and their allies.
386870	1	 Subuluridae is a family of spirurian nematodes which together with the two species of Maupasinidae make up the superfamily Subuluroidea. Like all nematodes they have neither a circulatory nor a respiratory system.They number about one dozen genera and somewhat over 100 species and are parasites of amniotes chiefly birds and mammals.
388971	1	 Physalaemus crombiei is a species of frog in the Leptodactylidae family.It is endemic to Brazil.Its natural habitats are subtropical or tropical moist lowland forests and intermittent freshwater marshes.It is threatened by habitat loss.
397394	1	 Samoana conica is a species of tropical air-breathing land snail a terrestrial pulmonate gastropod mollusk in the family Partulidae. This species is endemic to American Samoa.
372434	1	 Pterochrozini is a tribe of insects in the family Tettigoniidae (bush crickets or katydids) which are mimics of leaves.
365032	1	 Prethopalpus is a spider genus known as Goblin Spiders and are found in the Australasian tropics including Nepal India Indonesia Papua New Guinea and Australia. Three species are widely distributed whereas the majority of species are recorded a single localities. Of the 41 species 14 blind troglobite species live in subterranean eceosystems in Western Australia.
364070	1	 Anachis is a genus of sea snails marine gastropod mollusks in the family Columbellidae the dove snails.
369975	1	 Pseudatemelia latipennella is a moth of the Oecophoridae family. It was described by Jäckh in 1959. It is found in France the Benelux Germany Denmark Austria Slovakia and the Czech Republic.The wingspan is 18-22.5 mm.
377971	1	 The Maule tuco-tuco (Ctenomys maulinus) is a species of rodent in the family Ctenomyidae.It is found in Argentina and Chile.
398813	1	 Graphania oliveri is a moth of the Noctuidae family. It was described by Hampson in 1911. It is found in New Zealand.
365112	1	 The Sooty-capped Hermit (Phaethornis augusti) is a hummingbird from Venezuela Colombia Guyana and Brazil. It builds one of the most remarkable nests which hangs by a single stout cable of spiders' silk from some overhead support. These curious nests have been found beneath bridges in highway culverts and hanging from the roof inside dark buildings. As far as is known most other hermits build rather similar nests.The binomial commemorates the French entomologist Auguste Sallé.
374673	1	 Henricus montanus is a species of moth of the Tortricidae family. It is found in Venezuela.The wingspan is about 21 mm. The ground colour of the forewings is cream grey near the tornal part of the termen less distinct towards the apex and costa and otherwise suffused brown and sprinkled with dark brown. The hindwings are cream slightly tinged with brownish towards the apex with delicate brownish strigulae.
394932	1	 Forficula auricularia the common earwig or European earwig is an omnivorous insect in the family Forficulidae. The European earwig survives in a variety of environments and is a common household insect in North America. The name earwig comes from a false superstition that these insects crawl into human ears and enter the brain; in fact they are harmless to humans.
386354	1	 Tetrathemis is a genus of dragonflies in the family Libellulidae.The genus contains the following species:Tetrathemis camerunensis (Sjöstedt 1900)Tetrathemis corduliformis Longfield 1936Tetrathemis denticauda Fraser 1954Tetrathemis flavescens Kirby 1889Tetrathemis fraseri Legrand 1977Tetrathemis godiardi Lacroix 1921Tetrathemis irregularis Brauer 1868 - Rainforest ElfTetrathemis leptoptera Selys 1877Tetrathemis longfieldae Legrand 1977Tetrathemis platyptera Selys 1878Tetrathemis polleni (Selys 1877) - Black-splashed ElfTetrathemis ruwensoriensis Fraser 1941Tetrathemis victoriae (Pinhey 1963)Tetrathemis yerburi Kirby 1893↑ ↑ ↑
372181	1	 The Nicobar Parakeet (Psittacula caniceps) also known as Blyth's Parakeet is a parrot confined to the Nicobar Islands of the Indian Ocean. At 60 cm it is the largest of the true parakeets in terms of length.The Nicobar Parakeet is classified as Near Threatened by the IUCN. Very little is actually known about its ecology and conservation status.
370946	1	 Casierius is an extinct genus of prehistoric bony fish that lived during the Albian stage of the Early Cretaceous epoch.
377020	1	 Helcion concolor common name the variable limpet is a species of sea snail a true limpet a marine gastropod mollusk in the family Patellidae one of the families of true limpets.
363351	1	 Acathartus is a genus of beetles in the family Silvanidae containing the following species: Acathartus insignis (Grouvelle 1895) Acathartus mizoramensis Pal & Halstead 1998↑
388099	1	 Asymphorodes ergodes is a moth of the Agonoxenidae family. It was described by Edward Meyrick in 1934. It is found on the Marquesas Archipelago.
396099	1	 The Norfolk Boobook (Ninox novaeseelandiae undulata) also known as the Norfolk Island Boobook Norfolk Island Owl or Norfolk Island Morepork was a bird in the true owl family endemic to Norfolk Island an Australian territory in the Tasman Sea between Australia and New Zealand. It is an extinct subspecies of the Southern Boobook (Ninox novaeseelandiae).
386171	1	 Cyme suavis is a moth of the Arctiidae family. It is found in New Guinea.
388691	1	 Scopula clandestina is a moth of the Geometridae family. It is found on Madagascar.
391169	1	 Zabrus balcanicus is a species of ground beetle in the Pelor subgenus that can be found in Bulgaria Kosovo Montenegro Republic of Macedonia Serbia Voivodina and Turkey.
378569	1	 Poecilasthena phaeodryas is a moth in the Geometridae family. It is found in Australia including Queensland.
385051	1	 Tilda's Yellow-shouldered Bat Sturnira tildae is a bat species from South America. It is found in Bolivia Brazil Colombia Ecuador French Guiana Guyana Peru Suriname Venezuela and Trinidad and Tobago.
389913	1	 Tricolia pullus is a species of small sea snail a marine gastropod mollusk in the family Phasianellidae.
364513	1	 Megalopsidiinae Leng 1920 are a subfamily of Staphylinidae. See Newton et al. (2001) and references therein for further information about this subfamily.
372294	1	 Chaetopterus or the parchment worm or parchment tube worm is a genus of marine polychaete worm that lives in a tube it constructs in sediments or attaches to a rocky or coral reef substrate. The common name arises from the parchment-like appearance of the tubes the worm lives in. Parchment tube worms are filter feeders and spend their adult lives in their tubes unless the tube is damaged or destroyed. They are planktonic in their juvenile forms as is typical for polychaete annelids.
375590	1	 Selimus is a spider genus of the Salticidae family (jumping spiders). Its only described species S. venustus is found in Brazil.Saaristo (2006) erroneously erected a genus of the same name in the family Theridiidae for the species Anelosimus placens described by Blackwall in 1877 as Theridion placens and moved to Anelosimus by Saaristo (1978). If this new genus is valid it will have to be renamed.
398882	1	 Yellowfin croaker (Umbrina roncador) is a species of croaker occurring from the Gulf of California Mexico to Point Conception California. They frequent bays channels harbors and other nearshore waters over sandy bottoms. These croakers are more abundant along beaches during the summer months and may move to deeper water in winter. There is no set size limit for the yellowfin croaker.Other common names include yellowfin drum Catalina croaker yellowtailed croaker and golden croaker.
370758	1	 Cordylopteryx is a genus of tephritid or fruit flies in the family Tephritidae.
376734	1	 Eupithecia caduca is a moth in the Geometridae family. It is found in China.
388029	1	 Melanomys zunigae also known as Zuniga's Melanomys or Zuniga's Dark Rice Rat is a species of rodent in the genus Melanomys of family Cricetidae. Known only from a small region of coastal Peru it is listed as critically endangered by the IUCN and may even be extinct.
391908	1	 Rhizotrogus iglesiasi is a species of beetle in the Melolonthinae subfamily that is endemic to Spain.
372960	1	 Atractaspis aterrima commonly known as the slender burrowing asp or mole viper is a species of venomous snake in the Atractaspididae family. The specific epithet aterrima meaning blackest is the superlative form of the Latin adjective ater meaning black.
364589	1	 The Nassau grouper (Epinephelus striatus) is one of the large number of perciform fish in the family Serranidae that are commonly referred to as groupers. It is the most important of the groupers for commercial fishery in the West Indies but has been endangered by overfishing.The Nassau grouper is a US National Marine Fisheries Service Species of Concern.
381288	1	 Gonatista grisea common name Grizzled Mantis or Lichen Mimic is a species of praying mantis native to the Southern United States primarily Florida.
362299	1	 Myopites is a genus of tephritid or fruit flies in the family Tephritidae.
383582	1	 Chloroclystis naga is a moth in the Geometridae family. It is found in India (the Naga Hills).
386542	1	 Bombyx rotundapex is a moth of the Bombycidae family. It is found in Taiwan.
384461	1	 Veronicella cubensis common name the Cuban slug is a species of air-breathing land slug a terrestrial pulmonate gastropod mollusk in the family Veronicellidae the leatherleaf slugs.
378060	1	 The Montebello seahorse Hippocampus montebelloensis is known from Montebello Islands and Exmouth Gulf in Western Australia.
367238	1	 Paracles severa is a moth of the Arctiidae family. It is found in Argentina.
387817	1	 The blackspotted smooth-hound Mustelus punctulatus is a houndshark of the family Triakidae found on the continental shelves of the subtropical eastern Atlantic from the Mediterranean to the Western Sahara between latitudes 45° N and 20° N from the surface to 250 m. Its length is up to 1.5 m.
370369	1	 Neogaeornis is a controversial prehistoric genus of diving bird. The single known species Neogaeornis wetzeli was described from fossils found in the Campanian to Maastrichtian Quiriquina Formation of Chile. It lived about 70-67 million years ago. It remains known from the single tarsometatarsus described in 1929 by Lambrecht and today housed in the Paläontologisches Institut und Museum in Kiel Germany.
361717	1	 Anabarilius qiluensis is a species of ray-finned fish in the genus Anabarilius.
362793	1	 Notohypsilophodon (meaning southern Hypsilophodon) is a genus of basal euornithopod dinosaur from the Upper Cretaceous of Argentina. It was described as the only hypsilophodont known from South America although this assessment is not universally supported and Gasparinisaura is now believed to have been a basal euornithopod as well.
393053	1	 The Margay (Leopardus wiedii) is a spotted cat native to the Americas. Named after Prince Maximilian of Wied-Neuwied it is a solitary and nocturnal animal that prefers remote sections of the rainforest. Although it was once believed to be vulnerable to extinction the IUCN now lists it as Near Threatened. It roams the rainforests from Mexico to Argentina. They are hunted mainly for their fur and this has resulted in a large population decrease - around 14000 are killed a year.
370973	1	 Belloliva is a genus of sea snails marine gastropod mollusks in the family Olividae.
381789	1	 Centruroides platnicki is a species of scorpion in Buthidae family.
388230	1	 Sinocyclocheilus guishanensis is a species of ray-finned fish in the genus Sinocyclocheilus.
378247	1	 The Montane Sedge-skipper or Mountain Spotted Skipper (Oreisplanus perornata) is a butterfly of the Hesperiidae family. It is found in the mountains of New South Wales and Victoria.The wingspan is about 30 mm. The larvae feed on Gahnia sieberiana. They construct a shelter made from blades of grass curled and joined with silk. It rests in this shelter during the day. Pupation takes place inside the shelter.
372665	1	 Coccopigya spinigera is a species of sea snail deep-sea limpet a marine gastropod mollusk in the family Cocculinidae.
390658	1	 Pleurocolpus boileaui is a species of crabs in the family Xanthidae the only species in the genus Pleurocolpus.
